City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Wind Speed,Current Description
110,Bilkha,IN,21.4333,70.6,83.28,0,6.13,clear sky
111,Luanda,AO,-8.8368,13.2343,80.6,40,5.75,scattered clouds
112,New Norfolk,AU,-42.7826,147.0587,54.0,100,4.0,overcast clouds
113,Atuona,PF,-9.8,-139.0333,80.37,99,20.2,light rain
114,Pisco,PE,-13.7,-76.2167,71.01,0,9.22,clear sky
115,Los Llanos De Aridane,ES,28.6585,-17.9182,71.6,75,5.75,broken clouds
116,Kendari,ID,-3.945,122.4989,73.63,100,3.96,overcast clouds
117,Guerrero Negro,MX,27.9769,-114.0611,64.42,99,16.42,overcast clouds
118,Soyo,AO,-6.1349,12.3689,81.25,59,4.36,light rain
119,Virginia Beach,US,36.8529,-75.978,72.0,90,12.66,overcast clouds
120,Sabha,LY,27.0377,14.4283,77.65,53,11.95,broken clouds
121,Hutchinson,US,38.0608,-97.9298,57.2,1,11.5,clear sky
122,Dunedin,NZ,-45.8742,170.5036,52.0,100,5.01,overcast clouds
123,Agirish,RU,61.9247,63.0231,47.23,34,11.92,scattered clouds
124,Thomaston,US,32.8882,-84.3266,82.4,75,12.66,broken clouds
125,Thinadhoo,MV,0.5333,72.9333,82.74,98,7.49,overcast clouds
126,Arlit,NE,18.7369,7.3853,90.88,0,5.39,clear sky
127,Dikson,RU,73.5069,80.5464,-16.2,100,3.62,overcast clouds
128,Kant,IN,27.8,79.8,85.55,28,8.23,scattered clouds
129,Okha,RU,53.5739,142.9478,18.66,100,24.27,light snow
130,Sobolevo,RU,54.4299,31.8996,50.72,100,0.89,light rain
131,Praia Da Vitoria,PT,38.7333,-27.0667,68.0,40,5.55,scattered clouds
132,Bobingen,DE,48.2667,10.8333,37.4,40,8.05,scattered clouds
133,Acapulco,MX,16.8634,-99.8901,84.2,90,8.05,overcast clouds
134,Longyearbyen,SJ,78.2186,15.6401,6.8,20,12.66,few clouds
135,Asau,RO,46.4333,26.4,42.01,100,2.28,light rain
136,Puerto Ayora,EC,-0.7393,-90.3518,81.0,20,9.22,few clouds
137,Tura,IN,25.5198,90.2201,78.03,100,5.82,overcast clouds
138,Whitley Bay,GB,55.0397,-1.4471,43.0,0,5.75,clear sky
139,Yatou,CN,37.15,122.3833,44.73,100,10.87,overcast clouds
140,Pinega,RU,64.7001,43.3936,33.67,19,9.24,few clouds
141,Yulara,AU,-25.2406,130.9889,60.8,40,6.91,scattered clouds
142,Muisne,EC,0.6,-80.0333,86.0,20,9.22,few clouds
143,Amapa,BR,1.0,-52.0,79.12,100,3.85,moderate rain
144,Lebu,CL,-37.6167,-73.65,62.02,29,7.23,scattered clouds
145,Coihaique,CL,-45.5752,-72.0662,55.4,40,4.61,scattered clouds
146,Homer,US,59.6425,-151.5483,36.0,90,3.44,light rain
147,Broome,US,42.2506,-75.833,63.0,90,6.91,overcast clouds
148,Nuevo Progreso,MX,23.1667,-97.95,93.99,44,11.01,scattered clouds
149,Avarua,CK,-21.2078,-159.775,78.8,20,2.3,few clouds
150,Chuy,UY,-33.6971,-53.4616,71.01,0,10.02,clear sky
151,Naro Moru,KE,-0.1676,37.0213,56.19,73,2.93,broken clouds
152,Tigil,RU,57.8,158.6667,27.46,100,6.11,snow
153,Kudahuvadhoo,MV,2.6708,72.8944,82.92,63,8.41,broken clouds
154,Manacapuru,BR,-3.2997,-60.6206,80.6,40,3.44,scattered clouds
155,Hambantota,LK,6.1241,81.1185,79.63,100,4.68,overcast clouds
156,Mnogovershinnyy,RU,53.9353,139.9242,16.36,100,16.64,light snow
157,Ixtapa,MX,20.7,-105.2,80.6,1,11.5,clear sky
158,Iqaluit,CA,63.7506,-68.5145,5.0,1,27.63,clear sky
159,Weligama,LK,5.9667,80.4167,77.65,100,0.67,overcast clouds
160,Jiazi,CN,22.8779,116.067,66.85,100,18.9,overcast clouds
161,Ternate,ID,0.8,127.4,81.14,99,6.76,light rain
162,Ostersund,SE,63.1792,14.6357,35.6,90,5.75,overcast clouds
163,Muncar,ID,-8.4333,114.3333,74.62,18,1.63,few clouds
164,Kokopo,PG,-4.352,152.2633,75.81,98,3.56,overcast clouds
165,Port Lincoln,AU,-34.7333,135.8667,61.57,100,10.58,overcast clouds
166,San Patricio,US,28.017,-97.5169,86.0,75,11.5,broken clouds
167,Goba,ET,7.0167,39.9833,51.42,98,3.18,overcast clouds
168,Codrington,AU,-38.2667,141.9667,55.98,100,11.45,overcast clouds
169,Provideniya,RU,64.3833,-173.3,20.43,53,4.65,broken clouds
170,Sur,OM,22.5667,59.5289,85.05,17,11.83,few clouds
171,Tiksi,RU,71.6872,128.8694,1.9,100,3.24,overcast clouds
172,Sola,VU,-13.8833,167.55,78.8,75,13.15,broken clouds
173,Hobart,AU,-42.8794,147.3294,54.0,90,8.05,overcast clouds
174,Kruisfontein,ZA,-34.0033,24.7314,64.0,81,1.01,broken clouds
175,Ilhabela,BR,-23.7781,-45.3581,75.83,95,6.08,overcast clouds
176,San Cristobal,VE,7.7669,-72.225,87.8,40,8.05,scattered clouds
177,Erenhot,CN,43.6475,111.9767,50.52,100,25.08,overcast clouds
178,La Peca,PE,-5.6111,-78.435,81.19,65,1.25,light rain
179,Thompson,CA,55.7435,-97.8558,30.2,20,5.75,few clouds
180,Harer,ET,9.3094,42.1258,65.53,19,1.66,few clouds
181,Champerico,GT,14.3,-91.9167,95.0,75,9.22,broken clouds
182,Ames,US,42.0347,-93.6199,48.99,90,14.97,overcast clouds
183,Diffa,NE,13.3154,12.6113,86.04,31,6.51,scattered clouds
184,Mokhsogollokh,RU,61.4681,128.9203,-4.67,84,1.16,broken clouds
185,Surt,LY,31.2089,16.5887,61.03,100,9.55,overcast clouds
186,Daru,PG,-9.0763,143.2092,78.1,40,10.56,scattered clouds
187,Kirakira,SB,-10.4544,161.9205,79.2,30,5.32,scattered clouds
188,Grand Gaube,MU,-20.0064,57.6608,79.0,51,5.01,light rain
189,Kaili,ID,-3.4626,120.2147,66.7,100,2.26,light rain
190,Laguna,US,38.421,-121.4238,66.99,1,0.49,clear sky
191,Tessalit,ML,20.1986,1.0114,95.36,20,10.4,few clouds
192,Chokurdakh,RU,70.6333,147.9167,-15.18,84,4.52,broken clouds
193,Opole Lubelskie,PL,51.1478,21.969,35.01,100,11.83,snow
194,Farafangana,MG,-22.8167,47.8333,74.84,92,3.4,light rain
195,Namibe,AO,-15.1961,12.1522,80.53,0,6.22,clear sky
196,Do Gonbadan,IR,30.3586,50.7981,71.6,0,4.61,clear sky
197,Klaksvik,FO,62.2266,-6.589,44.6,75,8.05,broken clouds
198,Makakilo City,US,21.3469,-158.0858,77.0,1,9.22,clear sky
199,Manoel Urbano,BR,-8.8389,-69.2597,85.32,100,1.48,overcast clouds
200,Kulhudhuffushi,MV,6.6221,73.07,83.89,98,1.86,overcast clouds
