City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
479,Pedasi,PA,84.51,overcast clouds,7.5333,-80.0333,
480,Bengkulu,ID,75.27,broken clouds,-3.8004,102.2655,
484,Touros,BR,82.4,moderate rain,-5.1989,-35.4608,
492,Palmas Bellas,PA,90.0,overcast clouds,9.2319,-80.0867,
495,Coahuayana,MX,86.0,few clouds,18.7333,-103.6833,
498,Sorong,ID,78.55,overcast clouds,-0.8833,131.25,
500,Kailua,US,75.2,few clouds,21.4022,-157.7394,
501,Butwal,NP,77.77,clear sky,27.7006,83.4484,
503,Tefe,BR,77.0,light rain,-3.3542,-64.7114,
504,San Lazaro,BZ,90.0,scattered clouds,18.0387,-88.6622,
513,Bosaso,SO,80.2,clear sky,11.2842,49.1816,
516,Yadgir,IN,78.91,few clouds,16.7667,77.1333,
517,Mangrol,IN,80.19,clear sky,21.1167,70.1167,
518,Rotifunk,SL,81.16,overcast clouds,8.2333,-12.6833,
520,Maceio,BR,78.8,scattered clouds,-9.6658,-35.7353,
522,Ewa Beach,US,77.0,clear sky,21.3156,-158.0072,
523,Marawi,PH,75.0,overcast clouds,7.9986,124.2928,
529,Conakry,GN,80.6,broken clouds,9.538,-13.6773,
531,Ugoofaaru,MV,83.88,few clouds,5.6667,73.0,
533,Trairi,BR,83.37,overcast clouds,-3.2778,-39.2689,
535,Conceicao Do Araguaia,BR,89.6,scattered clouds,-8.2578,-49.2647,
537,Lazaro Cardenas,MX,84.24,broken clouds,17.9583,-102.2,
538,Nizwa,OM,83.07,clear sky,22.9333,57.5333,
543,Amahai,ID,79.0,scattered clouds,-3.3333,128.9167,
547,Sao Jose Da Coroa Grande,BR,81.23,moderate rain,-8.8978,-35.1478,
552,Malangwa,NP,81.81,clear sky,26.8568,85.5581,
554,El Sauce,NI,80.6,scattered clouds,12.8869,-86.539,
560,Muscat,OM,84.2,clear sky,23.6139,58.5922,
563,San Andres,CO,87.8,scattered clouds,12.5847,-81.7006,
565,Tumpat,MY,78.8,few clouds,6.1978,102.171,
570,Sechura,PE,79.99,broken clouds,-5.5569,-80.8222,
579,Bansi,IN,83.64,clear sky,27.1833,82.9333,
581,Obo,CF,77.16,broken clouds,5.3998,26.4869,
582,Saint-Georges,GD,84.2,few clouds,12.0564,-61.7485,
584,Altavas,PH,77.09,overcast clouds,11.538,122.48700000000001,
585,Tevaitoa,PF,81.16,overcast clouds,-16.7833,-151.5,
591,Bonthe,SL,81.07,overcast clouds,7.5264,-12.505,
593,Angoche,MZ,75.25,light rain,-16.2325,39.9086,
594,Port-Gentil,GA,82.4,scattered clouds,-0.7193,8.7815,
595,Palanpur,IN,82.56,clear sky,24.1667,72.4333,
596,Samana,DO,84.2,few clouds,19.2056,-69.3369,
598,Tutoia,BR,87.8,few clouds,-2.7619,-42.2744,
602,Vanimo,PG,76.77,overcast clouds,-2.6741,141.3028,
603,Aripuana,BR,83.48,light rain,-9.1667,-60.6333,
607,Yanam,IN,76.46,scattered clouds,16.7333,82.2167,
612,Puro,PH,79.68,overcast clouds,12.4841,123.3827,
614,Bahia De Caraquez,EC,80.6,broken clouds,-0.6,-80.4167,
623,Presidencia Roque Saenz Pena,AR,84.99,broken clouds,-26.7852,-60.4388,
626,San-Pedro,CI,82.06,overcast clouds,4.7485,-6.6363,
629,Grand-Santi,GF,83.34,heavy intensity rain,4.25,-54.3833,
630,Fare,PF,81.41,overcast clouds,-16.7,-151.0167,
632,Bambanglipuro,ID,75.45,overcast clouds,-7.95,110.2833,
636,Saint-Pierre,RE,77.0,light rain,-21.3393,55.4781,
637,Non Sung,TH,84.0,light rain,15.1801,102.2569,
639,Isangel,VU,78.06,broken clouds,-19.55,169.2667,
641,Porto Novo,BJ,86.0,scattered clouds,6.4965,2.6036,
642,Fonte Boa,BR,80.29,heavy intensity rain,-2.4959,-66.2662,
643,Gigmoto,PH,78.08,overcast clouds,13.7796,124.39,
644,Karratha,AU,80.82,broken clouds,-20.7377,116.8463,
646,Bairiki,KI,80.6,few clouds,1.3292,172.9752,
650,Tual,ID,82.22,scattered clouds,-5.6667,132.75,
663,Nouakchott,MR,78.8,sand,18.0858,-15.9785,
664,Itainopolis,BR,88.61,broken clouds,-7.4469,-41.4783,
665,Sangre Grande,TT,89.6,few clouds,10.5835,-61.1177,
666,Monywa,MM,89.82,broken clouds,22.1167,95.1333,
667,Makaha,US,77.0,few clouds,21.4694,-158.2175,
670,Camocim,BR,81.9,scattered clouds,-2.9022,-40.8411,
673,Mahajanga,MG,77.0,few clouds,-15.7167,46.3167,
