City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Cidreira,BR,2021-04-14 15:26:43,-30.1811,-50.2056,73.94,56,0,13.24
159,Bandarbeyla,SO,2021-04-14 15:26:44,9.4942,50.8122,81.79,70,91,12.03
160,Srednekolymsk,RU,2021-04-14 15:26:44,67.45,153.6833,-10.08,97,20,6.02
161,Preobrazheniye,RU,2021-04-14 15:26:44,42.9019,133.9064,34.5,74,19,5.95
162,Chuy,UY,2021-04-14 15:22:14,-33.6971,-53.4616,70.99,58,0,7.34
163,Tasgaon,IN,2021-04-14 15:26:45,17.0333,74.6,84.27,38,30,5.03
164,Badvel,IN,2021-04-14 15:26:45,14.75,79.05,81.27,68,31,3.53
165,Waipawa,NZ,2021-04-14 15:26:46,-41.4122,175.5153,55.4,82,75,10.36
166,Upernavik,GL,2021-04-14 15:26:46,72.7868,-56.1549,-2.96,93,85,8.77
167,Manakara,MG,2021-04-14 15:26:46,-22.1333,48.0167,75.63,85,100,4.63
168,Igarka,RU,2021-04-14 15:26:47,67.4667,86.5833,14.63,94,99,10.38
169,Kieta,PG,2021-04-14 15:26:47,-6.2167,155.6333,77.95,86,66,1.66
170,Bongandanga,CD,2021-04-14 15:26:47,1.5,21.05,89.2,40,80,2.89
171,Sitka,US,2021-04-14 15:26:48,57.0531,-135.33,42.8,75,90,11.5
172,Mahebourg,MU,2021-04-14 15:26:48,-20.4081,57.7,80.6,69,75,8.05
173,Tura,IN,2021-04-14 15:26:49,25.5198,90.2201,81.16,27,38,3.44
174,Port-De-Bouc,FR,2021-04-14 15:26:49,43.4,4.9833,64.4,45,0,9.22
175,Cascais,PT,2021-04-14 15:26:50,38.6979,-9.4215,64.0,94,75,3.44
176,Narasannapeta,IN,2021-04-14 15:26:50,18.4167,84.05,78.35,62,79,10.58
177,Kang,BW,2021-04-14 15:26:50,-23.6752,22.7876,83.17,18,0,10.69
178,Sulina,RO,2021-04-14 15:26:51,45.1559,29.6536,51.31,85,98,11.05
179,Kavieng,PG,2021-04-14 15:26:51,-2.5744,150.7967,81.0,74,95,4.36
180,Lebu,CL,2021-04-14 15:26:52,-37.6167,-73.65,60.85,82,7,4.83
181,Ancud,CL,2021-04-14 15:26:52,-41.8697,-73.8203,57.0,100,90,10.36
182,Hasaki,JP,2021-04-14 15:26:53,35.7333,140.8333,45.0,87,75,12.66
183,Laharpur,IN,2021-04-14 15:26:53,27.7167,80.9,90.88,8,0,8.5
184,Tuktoyaktuk,CA,2021-04-14 15:26:54,69.4541,-133.0374,5.0,92,20,4.61
185,Samarai,PG,2021-04-14 15:26:55,-10.6167,150.6667,80.33,81,100,13.06
186,Ambovombe,MG,2021-04-14 15:26:55,-25.1667,46.0833,76.33,80,0,12.8
187,Pevek,RU,2021-04-14 15:26:56,69.7008,170.3133,-15.41,98,47,5.41
188,Kenai,US,2021-04-14 15:26:56,60.5544,-151.2583,37.4,80,90,28.77
189,Skjervoy,NO,2021-04-14 15:26:57,70.0311,20.9714,35.6,55,75,13.8
190,Inuvik,CA,2021-04-14 15:26:57,68.3499,-133.7218,33.8,51,100,4.61
191,Kashi,CN,2021-04-14 15:26:57,39.4547,75.9797,64.4,29,40,4.47
192,Vilhena,BR,2021-04-14 15:26:58,-12.7406,-60.1458,82.4,65,20,5.75
193,Ponta Delgada,PT,2021-04-14 15:26:58,37.7333,-25.6667,64.4,82,20,17.27
194,Whithorn,JM,2021-04-14 15:26:59,18.2604,-78.0378,84.0,74,40,20.71
195,Nikolskoye,RU,2021-04-14 15:26:59,59.7035,30.7861,45.0,57,0,15.66
196,Pelotas,BR,2021-04-14 15:26:59,-31.7719,-52.3425,77.0,50,40,14.97
197,Clyde River,CA,2021-04-14 15:27:00,70.4692,-68.5914,1.4,78,20,6.91
198,Amazar,RU,2021-04-14 15:27:00,53.858,120.875,23.4,77,92,2.68
199,Vestmannaeyjar,IS,2021-04-14 15:27:01,63.4427,-20.2734,46.4,81,40,11.5
200,Tiksi,RU,2021-04-14 15:27:01,71.6872,128.8694,1.78,97,93,4.16
201,Namatanai,PG,2021-04-14 15:27:02,-3.6667,152.4333,78.31,78,84,2.53
202,Pangnirtung,CA,2021-04-14 15:27:02,66.1451,-65.7125,3.2,85,90,4.61
203,Nanortalik,GL,2021-04-14 15:27:02,60.1432,-45.2371,34.86,75,3,11.81
204,Riyadh,SA,2021-04-14 15:27:03,24.6877,46.7219,91.4,24,20,8.05
205,Hukay,PH,2021-04-14 15:27:03,13.8452,120.7029,79.86,81,60,8.21
206,Ornes,NO,2021-04-14 15:27:04,66.8689,13.7078,39.2,60,75,24.16
207,Susner,IN,2021-04-14 15:27:04,23.95,76.0833,88.61,18,100,12.44
